Time	cat1	catI	cat	P	B	A	k1	kN1	k2	kN2	k3	kN3
0	0.0	0.0	0.02	0.0	0.8	0.5	1423.47	426.91900000000004	5.38586	2.13008	0.176787	0.104406
1	0.0114771	0.00060521	0.00791766	0.0492014	0.750799	0.438716	1423.47	426.91900000000004	5.38586	2.13008	0.176787	0.104406
2	0.0107185	0.00110813	0.00817333	0.0915477	0.7084520000000001	0.39662600000000003	1423.47	426.91900000000004	5.38586	2.13008	0.176787	0.104406
3	0.010046799999999998	0.0015245999999999999	0.00842863	0.128151	0.671849	0.36027800000000004	1423.47	426.91900000000004	5.38586	2.13008	0.176787	0.104406
4	0.0094498	0.00186737	0.00868283	0.159926	0.640074	0.328757	1423.47	426.91900000000004	5.38586	2.13008	0.176787	0.104406
5	0.00891771	0.00214732	0.00893496	0.187607	0.6123930000000001	0.30132800000000004	1423.47	426.91900000000004	5.38586	2.13008	0.176787	0.104406
6	0.00844236	0.00237381	0.00918383	0.21178899999999998	0.5882109999999999	0.277395	1423.47	426.91900000000004	5.38586	2.13008	0.176787	0.104406
7	0.00801696	0.00255487	0.00942817	0.23295900000000003	0.567041	0.256469	1423.47	426.91900000000004	5.38586	2.13008	0.176787	0.104406
8	0.00763589	0.00269741	0.0096667	0.251523	0.548477	0.238144	1423.47	426.91900000000004	5.38586	2.13008	0.176787	0.104406
9	0.00729441	0.00280741	0.00989818	0.267818	0.5321819999999999	0.22208000000000003	1423.47	426.91900000000004	5.38586	2.13008	0.176787	0.104406
10	0.00698847	0.0028899999999999998	0.0101215	0.28213299999999997	0.517867	0.20798899999999998	1423.47	426.91900000000004	5.38586	2.13008	0.176787	0.104406
11	0.00671464	0.00294964	0.010335700000000001	0.294712	0.505288	0.195624	1423.47	426.91900000000004	5.38586	2.13008	0.176787	0.104406
12	0.00646978	0.00299016	0.010540100000000002	0.305768	0.49423199999999995	0.184772	1423.47	426.91900000000004	5.38586	2.13008	0.176787	0.104406
13	0.00625131	0.00301487	0.0107338	0.315483	0.48451700000000003	0.175251	1423.47	426.91900000000004	5.38586	2.13008	0.176787	0.104406
14	0.00605672	0.00302661	0.0109167	0.324017	0.47598199999999996	0.166899	1423.47	426.91900000000004	5.38586	2.13008	0.176787	0.104406
15	0.00588379	0.00302784	0.0110884	0.331511	0.46848900000000004	0.159577	1423.47	426.91900000000004	5.38586	2.13008	0.176787	0.104406
16	0.0057305	0.00302064	0.0112489	0.338088	0.461912	0.153161	1423.47	426.91900000000004	5.38586	2.13008	0.176787	0.104406
17	0.00559497	0.00300681	0.0113982	0.343856	0.45614399999999994	0.147542	1423.47	426.91900000000004	5.38586	2.13008	0.176787	0.104406
18	0.00547547	0.00298786	0.0115367	0.348912	0.451088	0.142625	1423.47	426.91900000000004	5.38586	2.13008	0.176787	0.104406
19	0.00537038	0.00296508	0.0116645	0.35334	0.44666000000000006	0.138325	1423.47	426.91900000000004	5.38586	2.13008	0.176787	0.104406
20	0.00527822	0.00293953	0.0117822	0.357215	0.442784	0.13456700000000002	1423.47	426.91900000000004	5.38586	2.13008	0.176787	0.104406
